day,project,outstanding_usd_value
2021-01-02T00:00:00+00:00,Aave,2512236406.43579
2021-04-15T00:00:00+00:00,MakerDAO,8579426353.6466055
2021-04-08T00:00:00+00:00,Aave,7721789310.675288
2020-12-31T00:00:00+00:00,Compound,3568714869.983255
2021-04-03T00:00:00+00:00,MakerDAO,7295000613.983197
2021-03-21T00:00:00+00:00,MakerDAO,6790940417.957375
2021-01-23T00:00:00+00:00,MakerDAO,4140807900.767092
2020-11-27T00:00:00+00:00,MakerDAO,2043803753.0903423
2021-02-14T00:00:00+00:00,Compound,7999858845.653974
2020-11-25T00:00:00+00:00,Compound,3434824678.0627346
2021-04-15T00:00:00+00:00,Aave,8691388931.06285
2021-04-30T00:00:00+00:00,Compound,13311545119.829378
2021-02-25T00:00:00+00:00,Compound,8476977877.255753
2021-03-04T00:00:00+00:00,Aave,6353969398.020247
2020-12-31T00:00:00+00:00,Aave,2374719629.25741
2020-11-26T00:00:00+00:00,Aave,1726643464.0003192
2021-04-29T00:00:00+00:00,Aave,12546340644.1333
2021-01-31T00:00:00+00:00,Compound,5296781754.414682
2021-03-19T00:00:00+00:00,Aave,7020265794.856106
2021-02-11T00:00:00+00:00,Compound,7667043921.126538
2021-05-18T00:00:00+00:00,Aave,16403146841.736542
2020-12-27T00:00:00+00:00,Compound,3773906340.5329137
2020-12-06T00:00:00+00:00,Compound,3264873885.614702
2021-05-15T00:00:00+00:00,Aave,16760561614.218252
2021-03-28T00:00:00+00:00,Aave,7177367555.258961
2021-03-07T00:00:00+00:00,MakerDAO,6116104353.977771
2021-04-30T00:00:00+00:00,MakerDAO,9309301606.488226
2021-03-18T00:00:00+00:00,Compound,11355731472.049543
2020-12-30T00:00:00+00:00,Compound,3600428779.603641
2021-02-01T00:00:00+00:00,Compound,5434871249.033862
2020-12-18T00:00:00+00:00,Aave,2037650050.5799406
2020-12-05T00:00:00+00:00,Compound,3242405913.3437896
2021-01-04T00:00:00+00:00,Aave,2784346774.9021
2021-02-21T00:00:00+00:00,Aave,7212554665.524968
2021-01-19T00:00:00+00:00,MakerDAO,4470096538.446849
2021-01-07T00:00:00+00:00,MakerDAO,4120906717.05064
2021-01-15T00:00:00+00:00,MakerDAO,3914658171.325976
2021-05-12T00:00:00+00:00,MakerDAO,13746657685.175476
2021-02-27T00:00:00+00:00,Aave,5809572663.907538
2020-12-07T00:00:00+00:00,Aave,1954555288.5962913
2021-03-24T00:00:00+00:00,Aave,6906752473.956403
2021-02-12T00:00:00+00:00,Compound,7726689657.384439
2020-12-08T00:00:00+00:00,Aave,1917092219.2431664
2021-01-01T00:00:00+00:00,MakerDAO,2825845417.9435906
2021-05-03T00:00:00+00:00,MakerDAO,10484530372.530857
