day,outstanding_usd_value,project
2021-02-08T00:00:00+00:00,1873337218.2688262,MakerDAO
2021-02-09T00:00:00+00:00,1034868347.3972479,Aave
2021-02-09T00:00:00+00:00,3286284544.9952474,Compound
2021-02-09T00:00:00+00:00,1932175544.0002537,MakerDAO
2021-02-10T00:00:00+00:00,1048130829.8687102,Aave
2021-02-10T00:00:00+00:00,3348460063.9098396,Compound
2021-02-10T00:00:00+00:00,1948617486.8955326,MakerDAO
2021-02-11T00:00:00+00:00,1071288850.5202591,Aave
2021-02-11T00:00:00+00:00,3498893204.0069995,Compound
2021-02-11T00:00:00+00:00,2017372988.9069853,MakerDAO
2021-02-12T00:00:00+00:00,1098416512.6206408,Aave
2021-02-12T00:00:00+00:00,3462604157.2392673,Compound
2021-02-12T00:00:00+00:00,2036552203.650064,MakerDAO
2021-02-13T00:00:00+00:00,1123059680.5511591,Aave
2021-02-13T00:00:00+00:00,3505067086.300125,Compound
2021-02-13T00:00:00+00:00,2052832489.483117,MakerDAO
2021-02-14T00:00:00+00:00,1146653498.0140843,Aave
2021-02-14T00:00:00+00:00,3577165397.5952954,Compound
2021-02-14T00:00:00+00:00,2052721361.977374,MakerDAO
2021-02-15T00:00:00+00:00,1141298166.4799845,Aave
2021-02-15T00:00:00+00:00,3669480955.118475,Compound
2021-02-15T00:00:00+00:00,2100108509.5967762,MakerDAO
2021-02-16T00:00:00+00:00,1130502867.3975005,Aave
2021-02-16T00:00:00+00:00,3993327589.570012,Compound
2021-02-16T00:00:00+00:00,2187757618.330784,MakerDAO
2021-02-17T00:00:00+00:00,1148973153.4344628,Aave
2021-02-17T00:00:00+00:00,4117789882.4933257,Compound
2021-02-17T00:00:00+00:00,2243149544.11874,MakerDAO
2021-02-18T00:00:00+00:00,1196618549.905571,Aave
2021-02-18T00:00:00+00:00,4122533280.653996,Compound
2021-02-18T00:00:00+00:00,2282932014.5333223,MakerDAO
2021-02-19T00:00:00+00:00,1217041997.2730308,Aave
2021-02-19T00:00:00+00:00,4149805060.0507593,Compound
2021-02-19T00:00:00+00:00,2296527135.792077,MakerDAO
2021-02-20T00:00:00+00:00,1282628688.5320282,Aave
2021-02-20T00:00:00+00:00,4249249111.716795,Compound
2021-02-20T00:00:00+00:00,2345315154.492662,MakerDAO
2021-02-21T00:00:00+00:00,1302479034.5078084,Aave
2021-02-21T00:00:00+00:00,4270175126.5142365,Compound
2021-02-21T00:00:00+00:00,2359253857.3483567,MakerDAO
2021-02-22T00:00:00+00:00,1260304794.9697344,Aave
2021-02-22T00:00:00+00:00,4170218265.3619566,Compound
2021-02-22T00:00:00+00:00,2346275325.3513026,MakerDAO
2021-02-23T00:00:00+00:00,1182033739.394619,Aave
2021-02-23T00:00:00+00:00,3804399962.086839,Compound
2021-02-23T00:00:00+00:00,2255113822.7974086,MakerDAO
2021-02-24T00:00:00+00:00,1211192358.9509807,Aave
2021-02-24T00:00:00+00:00,3838443889.6308103,Compound
2021-02-24T00:00:00+00:00,2277553159.338361,MakerDAO
2021-02-25T00:00:00+00:00,1216065509.5330868,Aave
2021-02-25T00:00:00+00:00,3926398385.6378317,Compound
2021-02-25T00:00:00+00:00,2287941554.7444663,MakerDAO
2021-02-26T00:00:00+00:00,1166742648.7082024,Aave
2021-02-26T00:00:00+00:00,3802378855.3937793,Compound
2021-02-26T00:00:00+00:00,2263262226.468377,MakerDAO
2021-02-27T00:00:00+00:00,1170597060.3124819,Aave
2021-02-27T00:00:00+00:00,3858014739.3580246,Compound
2021-02-27T00:00:00+00:00,2272944273.105637,MakerDAO
2021-02-28T00:00:00+00:00,1171609369.8247492,Aave
2021-02-28T00:00:00+00:00,3910255014.4723544,Compound
2021-02-28T00:00:00+00:00,2333782900.567587,MakerDAO
2021-03-01T00:00:00+00:00,1198927817.2875984,Aave
2021-03-01T00:00:00+00:00,4067737986.42881,Compound
2021-03-01T00:00:00+00:00,2423771699.218903,MakerDAO
2021-03-02T00:00:00+00:00,1219594124.7807524,Aave
2021-03-02T00:00:00+00:00,4288504020.3489723,Compound
2021-03-02T00:00:00+00:00,2464241787.096806,MakerDAO
2021-03-03T00:00:00+00:00,1269189350.5929098,Aave
2021-03-03T00:00:00+00:00,4413900957.380109,Compound
2021-03-03T00:00:00+00:00,2490176541.8397274,MakerDAO
2021-03-04T00:00:00+00:00,1239920066.486858,Aave
2021-03-04T00:00:00+00:00,4358429747.124352,Compound
2021-03-04T00:00:00+00:00,2503949789.2885685,MakerDAO
2021-03-05T00:00:00+00:00,1226921409.2995167,Aave
2021-03-05T00:00:00+00:00,4318794042.013742,Compound
2021-03-05T00:00:00+00:00,2512931899.3586354,MakerDAO
2021-03-06T00:00:00+00:00,1256572882.4821165,Aave
2021-03-06T00:00:00+00:00,4286552740.3222766,Compound
2021-03-06T00:00:00+00:00,2543265918.5137715,MakerDAO
2021-03-07T00:00:00+00:00,1449757835.4232337,Aave
2021-03-07T00:00:00+00:00,4330920864.248089,Compound
2021-03-07T00:00:00+00:00,2520520590.7579174,MakerDAO
2021-03-08T00:00:00+00:00,1404812852.979663,Aave
2021-03-08T00:00:00+00:00,4325584276.466754,Compound
2021-03-08T00:00:00+00:00,2524809906.913811,MakerDAO
2021-03-09T00:00:00+00:00,1363142674.3244689,Aave
2021-03-09T00:00:00+00:00,4437749813.162647,Compound
2021-03-09T00:00:00+00:00,2562485788.432753,MakerDAO
2021-03-10T00:00:00+00:00,1346665343.9767158,Aave
2021-03-10T00:00:00+00:00,4516636985.86786,Compound
2021-03-10T00:00:00+00:00,2578650432.5795054,MakerDAO
2021-03-11T00:00:00+00:00,1344239284.827471,Aave
2021-03-11T00:00:00+00:00,4538308780.656992,Compound
2021-03-11T00:00:00+00:00,2612903664.868491,MakerDAO
2021-03-12T00:00:00+00:00,1267906572.2648368,Aave
2021-03-12T00:00:00+00:00,4583828116.636871,Compound
2021-03-12T00:00:00+00:00,2665037488.112009,MakerDAO
2021-03-13T00:00:00+00:00,1365387201.7112455,Aave
2021-03-13T00:00:00+00:00,4724901105.4528885,Compound
2021-03-13T00:00:00+00:00,2706025261.698704,MakerDAO
