date_trunc,project,usd_volume
2020-09-01T00:00:00+00:00,DDEX,1765020.310555920424
2020-10-01T00:00:00+00:00,DDEX,1247264.069224032444
2020-11-01T00:00:00+00:00,DDEX,3508908.465854562763
2020-12-01T00:00:00+00:00,DDEX,3870445.240387752623
2021-01-01T00:00:00+00:00,DDEX,1757372.69184635425
2021-02-01T00:00:00+00:00,DDEX,2726796.92297276716
2021-03-01T00:00:00+00:00,DDEX,36846.55037563994
2021-04-01T00:00:00+00:00,DDEX,966381.59120344285
2021-01-01T00:00:00+00:00,Futureswap,
2021-02-01T00:00:00+00:00,Futureswap,
2021-03-01T00:00:00+00:00,Futureswap,
2021-04-01T00:00:00+00:00,Futureswap,
2021-05-01T00:00:00+00:00,Futureswap,
2020-01-01T00:00:00+00:00,Gnosis Protocol,4556.9101482935389833
2020-02-01T00:00:00+00:00,Gnosis Protocol,151721.9868607188304232073
2020-03-01T00:00:00+00:00,Gnosis Protocol,1567906.4533735163124037856
2020-04-01T00:00:00+00:00,Gnosis Protocol,1713688.175018678126737885499193
2020-05-01T00:00:00+00:00,Gnosis Protocol,691599.27659992071827041258072
2020-06-01T00:00:00+00:00,Gnosis Protocol,9772706.89588601692150858762722
2020-07-01T00:00:00+00:00,Gnosis Protocol,9221277.948772150860044137330
2020-08-01T00:00:00+00:00,Gnosis Protocol,45248972.03472705628511512810
2020-09-01T00:00:00+00:00,Gnosis Protocol,15065975.186057335489311562279
2020-10-01T00:00:00+00:00,Gnosis Protocol,3018574.73061420759095836453
2020-11-01T00:00:00+00:00,Gnosis Protocol,22176340.982280744367454082520
2020-12-01T00:00:00+00:00,Gnosis Protocol,12501357.2078769552676219643
2021-01-01T00:00:00+00:00,Gnosis Protocol,2550497.9924361026293372062
2021-02-01T00:00:00+00:00,Gnosis Protocol,5625146.04457150501923014838
2021-03-01T00:00:00+00:00,Gnosis Protocol,400496.8807524883165
2021-04-01T00:00:00+00:00,Gnosis Protocol,1029761.35390358891
2019-01-01T00:00:00+00:00,IDEX,34101809.978050813968758
2019-02-01T00:00:00+00:00,IDEX,54575024.40340325115686702
2019-03-01T00:00:00+00:00,IDEX,63965204.4538287006843
2019-04-01T00:00:00+00:00,IDEX,98880646.809451119298433798080
2019-05-01T00:00:00+00:00,IDEX,98613177.3743685215119
2019-06-01T00:00:00+00:00,IDEX,143863857.6814964518962
2019-07-01T00:00:00+00:00,IDEX,138446125.160516519308908557647
2019-08-01T00:00:00+00:00,IDEX,48448032.5410693879265
2019-09-01T00:00:00+00:00,IDEX,97849766.1422967571974058
2019-10-01T00:00:00+00:00,IDEX,30289297.37285969643792757
2019-11-01T00:00:00+00:00,IDEX,29330444.7048905648010
2019-12-01T00:00:00+00:00,IDEX,19650395.0050921166001
2020-01-01T00:00:00+00:00,IDEX,30655135.08355219358070853335
2020-02-01T00:00:00+00:00,IDEX,44824941.9709282321518
2020-03-01T00:00:00+00:00,IDEX,36856336.06979794176211
2020-04-01T00:00:00+00:00,IDEX,42094137.4757115579956
2020-05-01T00:00:00+00:00,IDEX,124195879.2413359677905
2020-06-01T00:00:00+00:00,IDEX,105426345.67376791332820
2020-07-01T00:00:00+00:00,IDEX,112822093.3879984740178
2020-08-01T00:00:00+00:00,IDEX,149565622.8065851772958
2020-09-01T00:00:00+00:00,IDEX,39054240.2616311564272
2020-10-01T00:00:00+00:00,IDEX,11103764.9048005816395
2019-01-01T00:00:00+00:00,Kyber,4522331.59349123027645386819
2019-02-01T00:00:00+00:00,Kyber,12475326.277065387683441054813264
2019-03-01T00:00:00+00:00,Kyber,19515214.18420724268158654944
2019-04-01T00:00:00+00:00,Kyber,23280812.283485660267403253149091
2019-05-01T00:00:00+00:00,Kyber,33589113.96557692785985307883
2019-06-01T00:00:00+00:00,Kyber,53318809.4405321040826197276483
2019-07-01T00:00:00+00:00,Kyber,56697125.158471560797634193108016
2019-08-01T00:00:00+00:00,Kyber,29075016.65626116543599874976
2019-09-01T00:00:00+00:00,Kyber,28001350.6796876581575425966457
2019-10-01T00:00:00+00:00,Kyber,34790805.530082090017582074128
2019-11-01T00:00:00+00:00,Kyber,51423039.45681721245448630284179
2019-12-01T00:00:00+00:00,Kyber,41439040.15430620955021038734
2020-01-01T00:00:00+00:00,Kyber,67383281.471374463629105404667
2020-02-01T00:00:00+00:00,Kyber,140373160.657111553743438437242043
2020-03-01T00:00:00+00:00,Kyber,196217827.868891821861269498760749
2020-04-01T00:00:00+00:00,Kyber,93002263.402787716681666041493568
2020-05-01T00:00:00+00:00,Kyber,104005535.457523920795889724295297
2020-06-01T00:00:00+00:00,Kyber,156816222.4293934292644304853484
2020-07-01T00:00:00+00:00,Kyber,292475451.291207378489656735073018
2020-08-01T00:00:00+00:00,Kyber,421080164.853048615559347858643753543694
2020-09-01T00:00:00+00:00,Kyber,415020054.86111876354042614624
2020-10-01T00:00:00+00:00,Kyber,184445961.2328729622022790094593188398
2020-11-01T00:00:00+00:00,Kyber,340337619.09087145836179998733750447434
2020-12-01T00:00:00+00:00,Kyber,442677856.4608595737781558378
2021-01-01T00:00:00+00:00,Kyber,920183622.98339506785079740274
2021-02-01T00:00:00+00:00,Kyber,554025057.9323688855300430577397971
2021-03-01T00:00:00+00:00,Kyber,317301505.93349661421434829526083287
2021-04-01T00:00:00+00:00,Kyber,241294910.739324605165759781426489849
2021-05-01T00:00:00+00:00,Kyber,24016437.815933671751544
2020-12-01T00:00:00+00:00,LINKSWAP,25724730.62257193481328470116
2021-01-01T00:00:00+00:00,LINKSWAP,106666219.15302905286262099433
2021-02-01T00:00:00+00:00,LINKSWAP,83247024.690635982095156
2021-03-01T00:00:00+00:00,LINKSWAP,19990212.42817661313398
2021-04-01T00:00:00+00:00,LINKSWAP,9179286.581471622090827276241058
