day,cumulative_volume
2020-09-28T00:00:00+00:00,8772609669.631882
2020-09-29T00:00:00+00:00,8854404676.691755
2020-09-30T00:00:00+00:00,8936541165.127264
2020-10-01T00:00:00+00:00,9038897756.441893
2020-10-02T00:00:00+00:00,9115501760.928617
2020-10-03T00:00:00+00:00,9163605241.724537
2020-10-04T00:00:00+00:00,9208894492.44101
2020-10-05T00:00:00+00:00,9274125221.126785
2020-10-06T00:00:00+00:00,9340245405.086727
2020-10-07T00:00:00+00:00,9399637894.141308
2020-10-08T00:00:00+00:00,9456254106.221527
2020-10-09T00:00:00+00:00,9604725834.772535
2020-10-10T00:00:00+00:00,9716209553.588524
2020-10-11T00:00:00+00:00,9815789074.381067
2020-10-12T00:00:00+00:00,9878328745.184713
2020-10-13T00:00:00+00:00,9932595557.589834
2020-10-14T00:00:00+00:00,10078563696.049332
2020-10-15T00:00:00+00:00,10158516980.195843
2020-10-16T00:00:00+00:00,10224534315.3006
2020-10-17T00:00:00+00:00,10267222152.34194
2020-10-18T00:00:00+00:00,10305002116.378237
2020-10-19T00:00:00+00:00,10378216673.718456
2020-10-20T00:00:00+00:00,10455689757.574621
2020-10-21T00:00:00+00:00,10595595710.817537
2020-10-22T00:00:00+00:00,10795128643.673119
2020-10-23T00:00:00+00:00,10854671400.555618
2020-10-24T00:00:00+00:00,10892729510.139338
2020-10-25T00:00:00+00:00,10926909402.41193
2020-10-26T00:00:00+00:00,13796513501.135365
2020-10-27T00:00:00+00:00,13935607270.137337
2020-10-28T00:00:00+00:00,14037226024.235624
2020-10-29T00:00:00+00:00,14088934030.517212
2020-10-30T00:00:00+00:00,14119217718.481396
2020-10-31T00:00:00+00:00,14144704968.425753
2020-11-01T00:00:00+00:00,14197534611.960167
2020-11-02T00:00:00+00:00,14260752768.338217
2020-11-03T00:00:00+00:00,14324292016.54613
2020-11-04T00:00:00+00:00,14367877261.133005
2020-11-05T00:00:00+00:00,14446456901.627892
2020-11-06T00:00:00+00:00,14522931180.595564
2020-11-07T00:00:00+00:00,14601860059.487623
2020-11-08T00:00:00+00:00,14639285865.167494
2020-11-09T00:00:00+00:00,14712651710.484446
