hour,troves
2021-04-21T03:00:00+00:00,904
2021-04-21T04:00:00+00:00,904
2021-04-21T05:00:00+00:00,903
2021-04-21T06:00:00+00:00,905
2021-04-21T07:00:00+00:00,902
2021-04-21T08:00:00+00:00,899
2021-04-21T09:00:00+00:00,897
2021-04-21T10:00:00+00:00,898
2021-04-21T11:00:00+00:00,889
2021-04-21T12:00:00+00:00,888
2021-04-21T13:00:00+00:00,887
2021-04-21T14:00:00+00:00,889
2021-04-21T15:00:00+00:00,889
2021-04-21T16:00:00+00:00,892
2021-04-21T17:00:00+00:00,892
2021-04-21T19:00:00+00:00,892
2021-04-21T21:00:00+00:00,892
2021-04-21T22:00:00+00:00,891
2021-04-21T23:00:00+00:00,891
2021-04-22T00:00:00+00:00,891
2021-04-22T01:00:00+00:00,888
2021-04-22T02:00:00+00:00,887
2021-04-22T04:00:00+00:00,889
2021-04-22T05:00:00+00:00,888
2021-04-22T06:00:00+00:00,892
2021-04-22T08:00:00+00:00,892
2021-04-22T09:00:00+00:00,893
2021-04-22T10:00:00+00:00,897
2021-04-22T11:00:00+00:00,897
2021-04-22T12:00:00+00:00,896
2021-04-22T13:00:00+00:00,899
2021-04-22T14:00:00+00:00,899
2021-04-22T15:00:00+00:00,898
2021-04-22T16:00:00+00:00,898
2021-04-22T17:00:00+00:00,898
2021-04-22T18:00:00+00:00,898
2021-04-22T19:00:00+00:00,899
2021-04-22T20:00:00+00:00,897
2021-04-22T21:00:00+00:00,895
2021-04-22T22:00:00+00:00,896
2021-04-22T23:00:00+00:00,898
2021-04-23T00:00:00+00:00,899
2021-04-23T01:00:00+00:00,898
2021-04-23T02:00:00+00:00,896
2021-04-23T03:00:00+00:00,895
2021-04-23T04:00:00+00:00,895
2021-04-23T05:00:00+00:00,894
2021-04-23T06:00:00+00:00,892
2021-04-23T07:00:00+00:00,891
2021-04-23T08:00:00+00:00,890
2021-04-23T10:00:00+00:00,891
2021-04-23T11:00:00+00:00,892
2021-04-23T12:00:00+00:00,891
2021-04-23T14:00:00+00:00,891
2021-04-23T15:00:00+00:00,890
2021-04-23T16:00:00+00:00,889
2021-04-23T17:00:00+00:00,890
2021-04-23T18:00:00+00:00,888
2021-04-23T19:00:00+00:00,889
2021-04-23T20:00:00+00:00,893
2021-04-23T21:00:00+00:00,894
