date,frax_rfv,treasury_rfv,dai_rfv
2021-06-02T00:00:00+00:00,0.00000000000000000000000000000000000,4549680.2535239094206781730005521783076116475554752313933941828381682393575236408320,4549680.2535239094206781730005521783076116475554752313933941828381682393575236408320
2021-06-01T00:00:00+00:00,0.00000000000000000000000000000000000,4309442.1593745440317107870002587404078791440777095968088094068647876441415347320996,4309442.1593745440317107870002587404078791440777095968088094068647876441415347320996
2021-05-31T00:00:00+00:00,0.00000000000000000000000000000000000,4230655.0202646799231623622144747853270167861451658422495084035016748432126127741040,4230655.0202646799231623622144747853270167861451658422495084035016748432126127741040
2021-05-30T00:00:00+00:00,0.00000000000000000000000000000000000,4198359.5572493164149560196214708267832568981970227209128642695667547824633508691136,4198359.5572493164149560196214708267832568981970227209128642695667547824633508691136
2021-05-29T00:00:00+00:00,0.00000000000000000000000000000000000,4186474.1251188335744413222175301230232894512180642069283305418076563601716662035992,4186474.1251188335744413222175301230232894512180642069283305418076563601716662035992
2021-05-28T00:00:00+00:00,0.00000000000000000000000000000000000,4203529.5592583757750676576595216089036687121054969341676708605953294631864684218832,4203529.5592583757750676576595216089036687121054969341676708605953294631864684218832
2021-05-27T00:00:00+00:00,0.00000000000000000000000000000000000,4173272.6327714047408438162761414474590931682649990784430451846555684432973561677336,4173272.6327714047408438162761414474590931682649990784430451846555684432973561677336
2021-05-26T00:00:00+00:00,0.00000000000000000000000000000000000,4168569.2485599397450555778553791367720541838045022187622184310874972100938235370112,4168569.2485599397450555778553791367720541838045022187622184310874972100938235370112
2021-05-25T00:00:00+00:00,0.00000000000000000000000000000000000,4064438.0007862891066844686148468566316356111835742890136584653346159934143761126016,4064438.0007862891066844686148468566316356111835742890136584653346159934143761126016
2021-05-24T00:00:00+00:00,0.00000000000000000000000000000000000,4063078.4486968007112328633285282890360763627655284013716373460666931926333650426040,4063078.4486968007112328633285282890360763627655284013716373460666931926333650426040
2021-05-23T00:00:00+00:00,0.00000000000000000000000000000000000,4058396.4630259559734721143619336470382844186414621677470182495591394033183734188980,4058396.4630259559734721143619336470382844186414621677470182495591394033183734188980
2021-05-22T00:00:00+00:00,0.00000000000000000000000000000000000,4057814.7165650040738873251333826923112525540746464860648491850199172790331284652096,4057814.7165650040738873251333826923112525540746464860648491850199172790331284652096
