date,treasury_rfv,ohm_staked_amount,10k_apy,20k_apy,50k_apy,70k_apy,100k_apy
2021-06-07T00:00:00+00:00,4905560.6215462144239128780637951181963798049731117526183052469969037481449575778800,274760.8265046690000000000000000000,228.4414767606729686840634073406512772726398089565111474695880577678551066973018,198.5558457464506321131554055352723358898633513762918444143967434376353359974772,169.2803585133706272189064230481854145853568362696547484532165731871900240724970,160.5860836732959247767377773980388861957621765845066770670232078412064710061339,152.2943430539599297837077621716906087737667152743861264775123282678269586387124
2021-06-06T00:00:00+00:00,4833538.3711385783122489564784436724974841042999704950376142316687389036426961387750,267896.0448500190000000000000000000,229.2745960006947878879855557163304447617237229481071418444864675892437479917869,199.2799729831322428508671501977049613105280621707007815539707671667949615483901,169.8977189228510451007357182636054182078586308955415255136362396911333128728631,161.1717363222154512404020116356733065902264811430524928356985488053195174406069,152.8497559725940648711392242730185612364856044793294032986727995185323902764947
2021-06-05T00:00:00+00:00,4716339.8714771029046929642080447750822679302142065962005535591233842126819129879264,261124.9060509600000000000000000000,229.3581679575772009574809437965791644390808629060843266981707668292270194604459,199.3526117211354026107707487779890704762978172587487793315108524290321825866604,169.9596476541100364599803042232991018739064835058821612841620232445931328937940,161.2304843808034293897039120327285729915651843121637304254008874975468516069695,152.9054706197396661259448356020929167734771555951480370989831365092266479841649
2021-06-04T00:00:00+00:00,4610825.6912639400743751727074087112540965489380360909279145111971652009366216065504,255666.8538293970000000000000000000,229.2390830336857147807009390399422724123659927396337457524797763321282437165490,199.2491059650257208817204608700479562786853357376578252272353256589249774596559,169.8714030021504119570671862848863164865616447486117177979471639766301763858071,161.1467719927404643027827255671875985792300299984620874966668473682757243702642,152.8260806573350504845551770449158444622720358718906678036884614170040374251708
2021-06-03T00:00:00+00:00,4589003.5337580269809182596374974532361636765448388930989411451386876287960723830090,250615.0567553670000000000000000000,230.4448526716348100617279808949264576912082569679733084759709409582296252839651,200.2971319786606928860597718412105764531052727471342103173907774609677674520541,170.7649058786459939794498667918286096432056758536293847726712229094538768085214,161.9943843734521758752259935400428521644340019345129739967960234426920190006999,153.6299272157174881393365595226090256489331506627414487052781324923814010065369
2021-06-02T00:00:00+00:00,4549680.2535239094206781730005521783076116475554752313933941828381682393575236408320,245325.2342171560000000000000000000,231.4536072784333857324304381265867367317007561644872950565536890840355744864265,201.1739172583905988045191149361956900728034073624505717555454955726864972423646,171.5124161115174812949524087792587624907527685470767156231814503658145968432655,162.7035023234420102371284812023464424327178786180815412817773973379532139089353,154.3024303982546634399690253353663649898683590327302029645916583554858116599918
2021-06-01T00:00:00+00:00,4309442.1593745440317107870002587404078791440777095968088094068647876441415347320996,240934.9420632290000000000000000000,228.5851835371336653262309773496920350090495560279632022558520377990157015526662,198.6807522255378043696818964700184611801643235942051470577336533299377286083695,169.3868485211617844959723027656312361517171607240564517181060672029999421236474,160.6871043318749885011858534253567823867414380812862206296380798354389022821386,152.3901475874615787972887599807024765703649327837322189293502095629435736864190
2021-05-31T00:00:00+00:00,4230655.0202646799231623622144747853270167861451658422495084035016748432126127741040,235433.1762079690000000000000000000,228.9535935223468493750395050546691592692658155334535305767627737850020914229908,199.0009653375904671345390816020223802968586914125321563383269900847063254798940,169.6598487453817045085536252350914635384093649372581204154480216881112250480430,160.9460832071232111933987686558094621472458775752572862321914604218543857243861,152.6357542849324644296825362488894781040397204959130620890766963218866932457644
2021-05-30T00:00:00+00:00,4198359.5572493164149560196214708267832568981970227209128642695667547824633508691136,229889.3853598110000000000000000000,230.2348823736321976107057779952164052884409384075514959035378838387693411328842,200.1146308379189857865440522286468842422979225141638713499907881854806861582612,170.6093130860101843914085399050832640978565658431047845820196321665549236624588,161.8467828593922775695269194003713331716497687977332896580893288100169008412319,153.4899469938742669585103841688305544886524550812337333381667666416115647601442
2021-05-29T00:00:00+00:00,4186474.1251188335744413222175301230232894512180642069283305418076563601716662035992,224802.5631216780000000000000000000,231.7836584042442882744514061670148978280861222435956446361595959002605353876512,201.4607897710105740410927706466389749982364063154309068722999028706288981522193,171.7569915436906180857072583505339560105617924899320507729116397529137408669274,162.9355163099452682882395136582387784952633118107750050776010201469187560247061,154.5224645185569559752605238356486290340092749364531853408116582237509715472550
